,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
335,sector 45,house,independent,10.0,30864.0,3240.02,Plot area 360(301.01 sq.m.),6,6,3+,4.0,North-East,Moderately New Property,,3240.0,,1,1,0,1,1,0,70
342,sector 45,house,independent,7.35,29697.0,2475.0,Plot area 275(229.94 sq.m.),6,4,3+,3.0,North-East,Old Property,,2475.0,,1,1,0,1,1,0,61
347,sector 109,house,international city by sobha phase 2,7.0,11240.0,6227.76,Plot area 692(578.6 sq.m.),5,5,3+,2.0,South,Relatively new property,,6228.0,,1,0,0,0,0,1,129
355,sector 25,house,nul,9.5,33404.0,2843.97,Plot area 316(264.22 sq.m.),9,9,3+,3.0,North-West,Old Property,,2844.0,,0,0,1,0,0,1,81
356,sector 2,house,ansals palam vihar,9.0,19231.0,4679.94,Plot area 520(434.79 sq.m.),5,5,2,2.0,North,Old Property,,4680.0,,1,1,0,1,1,2,110
357,sector 25,house,dlf city plots phase 2,15.5,34307.0,4518.03,Plot area 502(419.74 sq.m.),5,6,3+,3.0,East,Moderately New Property,,4518.0,,1,1,0,1,1,1,144
363,sector 65,flat,m3m golfestate,6.15,15998.0,3844.0,Carpet area: 3844 (357.12 sq.m.),3,5,3+,1.0,West,Relatively new property,,,3844.0,1,0,0,0,0,2,49
368,sector 82,house,vatika india next,6.5,20062.0,3239.96,Built Up area: 360 (301.01 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),4,3,0,2.0,Na,Undefined,,360.0,300.0,0,0,0,0,0,1,0
373,sector 26,house,independent,18.4,1859.0,98977.95,Plot area 502(419.74 sq.m.)Carpet area: 11000 sq.yards (9197.4 sq.m.),6,8,3+,4.0,South,Relatively new property,,,11000.0,1,0,0,1,1,0,60
381,sector 43,house,independent,8.25,30556.0,2699.96,Plot area 300(250.84 sq.m.),5,6,3+,3.0,West,Moderately New Property,,2700.0,,1,1,0,1,1,0,64
410,sector 33,house,unitech uniworld resorts,8.0,17778.0,4499.94,Built Up area: 500 (418.06 sq.m.),6,5,3+,4.0,Na,Undefined,,500.0,,0,0,0,0,0,1,0
415,sector 24,flat,ambience caitriona,14.0,200000.0,700.0,Built Up area: 700 (65.03 sq.m.),4,5,3,3.0,East,Undefined,,700.0,,0,0,0,0,0,1,0
417,sector 108,house,sobha city,10.5,14323.0,7330.87,Built Up area: 7331 (681.07 sq.m.),5,4,3+,1.0,East,Undefined,,7331.0,,0,0,0,0,0,1,59
