,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
16,sector 4,house,independent,1.1,11111.0,990.01,Built Up area: 990 (91.97 sq.m.),6,4,1,2.0,North,Undefined,,990.0,,0,0,0,0,0,1,0,165.00166666666667
64,sector 55,house,independent,1.45,26852.0,540.0,Plot area 60(5.57 sq.m.),4,4,3+,4.0,East,Relatively new property,,60.0,,0,0,0,0,1,1,70,135.0
74,sector 4,house,independent,0.5,9259.0,540.02,Plot area 540(50.17 sq.m.),5,3,2,3.0,West,Old Property,,540.0,,0,0,0,0,0,1,0,108.00399999999999
125,sector 4,house,independent,0.67,9795.0,684.0,Plot area 76(7.06 sq.m.),3,3,2,2.0,South,Relatively new property,,76.0,,0,0,1,0,0,1,7,228.0
139,sector 12,house,independent,0.9,13333.0,675.02,Built Up area: 675 (62.71 sq.m.),4,4,0,2.0,Na,Undefined,,675.0,,0,0,0,0,0,1,0,168.755
155,manesar,house,independent,1.1,6172.0,1782.24,Plot area 1782(165.55 sq.m.),8,8,0,1.0,Na,New Property,,1782.0,,0,0,0,0,0,1,0,222.78
170,sector 6,house,independent,0.66,10784.0,612.02,Plot area 612(56.86 sq.m.),3,2,1,2.0,Na,Old Property,,612.0,,0,0,0,0,0,1,36,204.00666666666666
184,sector 4,house,independent,1.1,6111.0,1800.03,Plot area 200(167.23 sq.m.),8,4,3+,2.0,West,Old Property,,1800.0,,0,0,0,0,0,1,7,225.00375
203,sector 3,house,independent,0.8,8155.0,980.99,Plot area 109(91.14 sq.m.),5,4,1,2.0,Na,Moderately New Property,,981.0,,0,0,0,0,0,1,0,196.198
208,sector 11,house,"nirmal enclave, maruti kunj road",0.24,5333.0,450.03,Plot area 450(41.81 sq.m.),2,2,0,2.0,North,Relatively new property,,450.0,,0,0,0,0,0,1,0,225.015
227,sector 41,house,independent,4.25,26235.0,1619.97,Plot area 180(150.5 sq.m.),10,9,3+,4.0,North,Moderately New Property,,1620.0,,1,1,0,0,0,0,36,161.997
253,sector 5,house,sheetla enclave,0.96,10000.0,960.0,Plot area 945(87.79 sq.m.),7,4,2,3.0,Na,Moderately New Property,,945.0,,0,0,0,1,1,0,0,137.14285714285714
261,sector 3 phase 3 extension,house,ashok vihar phase iii extension,0.4,8889.0,449.99,Plot area 50(41.81 sq.m.),7,4,3+,4.0,Na,New Property,,450.0,,0,0,0,1,0,1,7,64.28428571428572
296,sohna road,flat,mvn athens,0.26,5394.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,5.0,Na,Relatively new property,,,481.684525,0,0,0,0,0,1,95,241.0
297,sector 95,flat,rof ananda,0.38,5901.0,644.0,Carpet area: 644.12 (59.84 sq.m.),3,2,1,2.0,South-East,Relatively new property,,,644.111776,0,0,0,1,0,0,66,214.66666666666666
312,sector 107,flat,signature global solera,0.28,5833.0,480.0,Carpet area: 489 (45.43 sq.m.),2,2,2,0.0,North-East,Relatively new property,,,489.0,0,0,0,0,0,1,45,240.0
343,sector 84,flat,pivotal devaan,0.35,7246.0,483.0,Carpet area: 483 (44.87 sq.m.),2,2,2,4.0,East,Relatively new property,,,483.0,0,0,0,0,0,1,37,241.5
344,sector 17,house,iffco nagar and 17b rwa,2.98,20566.0,1448.99,Plot area 161(134.62 sq.m.),6,6,3+,3.0,East,Relatively new property,,1449.0,,0,1,0,1,0,1,78,241.49833333333333
358,sector 28,house,independent,0.75,20833.0,360.01,Plot area 40(33.45 sq.m.),7,4,3+,4.0,Na,Moderately New Property,,360.0,,0,0,0,0,0,1,7,51.43
370,sector 105,house,row house,0.43,9135.0,470.72,Plot area 52(43.48 sq.m.)Built Up area: 1050 sq.yards (877.93 sq.m.),3,3,3,2.0,Na,Relatively new property,,1050.0,,0,0,0,0,0,1,0,156.90666666666667
387,sector 95,flat,ramsons kshitij,0.4,5839.0,685.0,Carpet area: 685 (63.64 sq.m.),3,2,2,6.0,Na,Undefined,,,685.0,0,0,0,0,0,1,0,228.33333333333334
394,sector 8,house,independent,0.82,10224.0,802.03,Carpet area: 802 (74.51 sq.m.),4,4,0,2.0,Na,Undefined,,,802.0,0,0,0,0,0,1,0,200.5075
401,sector 4,house,independent,0.47,10601.0,443.35,Plot area 49(40.97 sq.m.)Built Up area: 50 sq.yards (41.81 sq.m.)Carpet area: 48 sq.yards (40.13 sq.m.),2,2,1,2.0,East,New Property,,50.0,48.0,0,1,0,0,0,0,73,221.675
424,sector 21,house,independent,0.45,8411.0,535.01,Carpet area: 535 (49.7 sq.m.),3,2,1,1.0,Na,Undefined,,,535.0,0,0,0,0,0,1,0,178.33666666666667
427,sector 9,house,independent,0.6,10753.0,557.98,Plot area 62(51.84 sq.m.),3,3,1,2.0,Na,Relatively new property,,558.0,,0,0,0,0,0,1,0,185.99333333333334
439,sector 17,house,independent,0.32,22067.0,145.01,Built Up area: 145 (13.47 sq.m.),2,2,0,3.0,Na,Undefined,,145.0,,0,0,0,0,0,1,0,72.505
441,sector 105,house,independent,0.55,10913.0,504.0,Built Up area: 56 (5.2 sq.m.),4,4,0,2.0,Na,Undefined,,56.0,,0,0,0,0,0,1,0,126.0
444,sector 38,house,sector 38 rwa,1.4,23932.0,584.99,Plot area 65(54.35 sq.m.)Built Up area: 62 sq.yards (51.84 sq.m.)Carpet area: 60 sq.yards (50.17 sq.m.),8,8,3,4.0,East,Moderately New Property,,62.0,60.0,0,0,1,0,0,0,40,73.12375
487,sector 12,house,independent,6.0,35088.0,1710.0,Plot area 190(17.65 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),9,6,2,2.0,North-East,Old Property,,,1600.0,0,0,0,0,0,1,0,190.0
515,sector 2,house,independent,3.65,23442.0,1557.03,Plot area 173(144.65 sq.m.),9,9,3+,3.0,West,New Property,,1557.0,,1,0,0,1,0,0,116,173.00333333333333
521,sector 45,house,independent,4.49,24455.0,1836.03,Plot area 204(170.57 sq.m.),9,9,3+,3.0,North-West,Moderately New Property,,1836.0,,0,0,1,0,0,0,90,204.00333333333333
532,sector 43,house,independent,5.3,27390.0,1935.01,Plot area 215(179.77 sq.m.),9,9,3+,3.0,East,Moderately New Property,,1935.0,,1,0,0,0,0,0,71,215.0011111111111
577,sector 7,house,independent,1.2,11194.0,1072.0,Built Up area: 1072 (99.59 sq.m.),5,4,2,3.0,Na,Undefined,,1072.0,,0,0,0,0,0,1,0,214.4
602,sector 105,house,independent,0.38,8444.0,450.0,Carpet area: 50 (4.65 sq.m.),2,2,2,1.0,Na,Undefined,,,50.0,0,0,0,0,0,1,0,225.0
656,sector 12,house,jacobpura,0.53,14583.0,363.44,Plot area 360(33.45 sq.m.),4,4,2,3.0,East,Relatively new property,,360.0,,0,0,0,0,0,1,0,90.86
665,sector 13,house,independent,0.9,11464.0,785.07,Plot area 785(72.93 sq.m.),5,4,3,3.0,North-West,Moderately New Property,,785.0,,1,1,1,1,0,1,0,157.014
684,sector 12,house,independent,1.0,8230.0,1215.0,Plot area 135(12.54 sq.m.)Built Up area: 3750 sq.ft. (348.39 sq.m.),9,7,3+,3.0,North,Moderately New Property,,3750.0,,0,0,0,1,1,1,7,135.0
712,sector 105,house,independent,1.1,12222.0,900.02,Carpet area: 900 (83.61 sq.m.),6,4,1,1.0,South-West,Undefined,,,900.0,0,0,0,0,0,1,0,150.00333333333333
718,sector 105,house,independent,0.37,8222.0,450.01,Plot area 450(41.81 sq.m.),2,2,1,1.0,Na,Moderately New Property,,450.0,,0,0,1,0,0,1,0,225.005
722,sector 8,house,independent,0.62,11273.0,549.99,Built Up area: 550 (51.1 sq.m.),3,1,0,2.0,Na,Undefined,,550.0,,0,0,0,0,0,1,0,183.33
751,sector 10a,house,independent,3.6,19608.0,1835.99,Plot area 204(170.57 sq.m.),8,4,3,3.0,North,Moderately New Property,,1836.0,,0,0,0,1,0,0,28,229.49875
758,sector 4,house,naman residency,0.5,11111.0,450.0,Plot area 450(41.81 sq.m.),2,2,2,2.0,West,New Property,,450.0,,1,1,1,1,0,1,14,225.0
802,sector 7,house,independent,0.89,18658.0,477.01,Plot area 477(44.31 sq.m.),5,3,2,2.0,East,Old Property,,477.0,,0,0,0,0,0,1,8,95.402
850,sector 11,house,sai kripa floors 5,0.9,11250.0,800.0,Plot area 800(74.32 sq.m.),5,5,3,3.0,Na,Relatively new property,,800.0,,0,0,0,0,0,1,0,160.0
872,sector 6,house,independent,0.75,10518.0,713.06,Plot area 713(66.24 sq.m.),6,4,1,3.0,Na,Moderately New Property,,713.0,,0,0,0,0,0,1,62,118.84333333333332
896,sector 25,house,dlf city plots phase 2,6.5,33592.0,1934.98,Plot area 215(179.77 sq.m.),9,9,3+,3.0,West,Old Property,,1935.0,,1,1,0,1,1,0,142,214.99777777777777
963,sector 9,house,independent,0.35,9722.0,360.01,Plot area 40(33.45 sq.m.),2,2,1,2.0,South-East,Old Property,,360.0,,0,0,0,0,0,1,0,180.005
986,sector 12,house,rk excelo,0.6,13333.0,450.0,Plot area 50(4.65 sq.m.)Built Up area: 30 sq.ft. (2.79 sq.m.)Carpet area: 15 sq.ft. (1.39 sq.m.),5,3,2,3.0,North,Moderately New Property,,30.0,15.0,0,0,1,0,0,1,0,90.0
1006,sector 3 phase 2,house,independent,0.85,9444.0,900.04,Carpet area: 900 (83.61 sq.m.),5,3,3,1.0,Na,Undefined,,,900.0,0,0,0,0,0,1,0,180.00799999999998
1010,sector 92,flat,gls avenue 51,0.5,7812.0,640.0,Super Built up area 640(59.46 sq.m.),3,3,1,0.0,Na,Relatively new property,640.0,,,0,0,0,0,0,1,0,213.33333333333334
1013,sector 47,house,independent,0.99,17187.0,576.02,Plot area 64(53.51 sq.m.),4,4,3,4.0,Na,Relatively new property,,576.0,,0,0,0,0,0,1,13,144.005
1016,sector 4,house,independent,0.92,15257.0,603.0,Plot area 67(56.02 sq.m.),4,4,3,4.0,East,Moderately New Property,,603.0,,0,0,1,0,0,1,0,150.75
