,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
1634,sector 7,house,independent,0.95,21111.0,450.0,Plot area 450(41.81 sq.m.),2,1,1,3.0,Na,New Property,,450.0,,0,0,0,0,0,1,15,225.0
1659,sector 7,house,rattan garden,1.3,13499.0,963.03,Built Up area: 963 (89.47 sq.m.),5,3,2,3.0,Na,Old Property,,963.0,,0,0,0,0,0,1,0,192.606
1665,sector 28,house,independent,0.45,10000.0,450.0,Built Up area: 50 (4.65 sq.m.),5,3,0,1.0,Na,Undefined,,50.0,,0,0,0,0,0,1,0,90.0
1667,sector 79,flat,supertech basera,0.36,7643.0,471.0,Built Up area: 546 (50.73 sq.m.)Carpet area: 471 sq.ft. (43.76 sq.m.),2,2,1,4.0,Na,New Property,,546.0,471.0,0,0,0,0,0,1,60,235.5
1676,sector 99a,flat,prime habitat,0.27,6054.0,446.0,Carpet area: 448 (41.62 sq.m.),2,2,1,10.0,South,Relatively new property,,,448.0,0,0,0,0,0,1,67,223.0
1710,sohna road road,house,prem kunj,0.5,7407.0,675.04,Plot area 675(62.71 sq.m.)Built Up area: 725 sq.ft. (67.35 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),5,4,3,3.0,South-West,Relatively new property,,725.0,675.0,0,0,0,1,0,1,22,135.00799999999998
1731,sector 105,house,independent,1.2,10122.0,1185.54,Plot area 1185.51(110.14 sq.m.),6,2,1,2.0,North-West,Old Property,,1185.51,,0,0,0,0,0,1,9,197.59
1772,sector 9,house,independent,0.22,7407.0,297.02,Carpet area: 33 (27.59 sq.m.),2,2,2,1.0,Na,Undefined,,,33.0,0,0,0,0,0,1,0,148.51
1793,sohna road,flat,gls arawali homes,0.29,6029.0,481.0,Carpet area: 480.53 (44.64 sq.m.),2,2,2,9.0,East,Relatively new property,,,480.500496,0,0,0,0,0,1,55,240.5
1795,sector 107,flat,signature global solera,0.52,8062.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,5.0,East,Relatively new property,,,645.0,0,0,1,0,0,1,15,215.0
1802,sector 107,flat,signature global solera,0.28,5680.0,493.0,Carpet area: 489 (45.43 sq.m.),2,2,2,11.0,North,Relatively new property,,,489.0,0,0,0,0,0,1,29,246.5
1849,sector 38,house,independent,2.1,23333.0,900.01,Plot area 100(83.61 sq.m.),7,7,3+,3.0,North-East,Relatively new property,,900.0,,0,1,0,1,1,1,27,128.57285714285715
1856,sector 7,house,independent,1.16,11693.0,992.05,Plot area 992(92.16 sq.m.)Carpet area: 992 sq.ft. (92.16 sq.m.),5,4,2,3.0,North-East,Moderately New Property,,,992.0,0,0,1,0,0,1,39,198.41
1862,sector 107,flat,signature global solera,0.5,7752.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,6.0,North-East,Relatively new property,,,645.0,0,0,1,0,0,1,49,215.0
1866,sector 4,house,independent,0.5,10482.0,477.01,Built Up area: 53 (44.31 sq.m.),5,3,0,1.0,Na,Undefined,,53.0,,0,0,0,0,0,1,0,95.402
1885,sector 25,house,independent,7.6,38760.0,1960.78,Plot area 215(179.77 sq.m.),9,9,3,4.0,East,Relatively new property,,1935.0,,0,1,0,1,1,0,84,217.86444444444444
1897,sector 107,flat,signature global solera,0.28,5726.0,489.0,Carpet area: 489 (45.43 sq.m.),2,2,2,10.0,South,Relatively new property,,,489.0,0,0,0,0,0,1,38,244.5
1899,sector 24,house,independent,4.5,33333.0,1350.01,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),10,8,3+,4.0,East,Relatively new property,,160.0,150.0,1,0,0,0,1,0,56,135.001
