sector,property_type,price,bedRoom,bathroom,balcony,floor_category,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category
sector 104,flat,2.25,3,4,3+,Mid floor,Relatively new property,2303.0,1,0,0,High
sector 69,flat,1.72,4,4,1,High floor,Relatively new property,1783.0,0,0,1,Medium
sector 107,flat,0.38,2,2,2,Mid floor,Relatively new property,627.0,0,0,2,Low
sector 65,flat,13.2,4,4,3,High floor,Moderately New Property,12222.0,1,0,1,Medium
sector 37d,flat,1.36,3,3,3,Low floor,Under Construction,1535.0,0,0,1,Low
sector 48,flat,1.6,3,3,3+,Mid floor,Old Property,1895.0,0,0,0,Low
sector 108,flat,2.5,3,3,2,High floor,New Property,1480.0,0,0,1,High
sector 70,flat,1.5,3,5,3,Mid floor,Relatively new property,1527.0,1,0,0,High
sector 106,flat,1.1,3,4,3+,Mid floor,Relatively new property,1186.0,1,0,0,High
sector 12,house,1.7,1,1,1,Low floor,Old Property,1800.0,1,0,1,Low
sector 69,flat,1.43,3,3,2,Low floor,Relatively new property,1455.0,0,0,1,Medium
sector 81,flat,2.26,3,4,3+,High floor,New Property,1900.0,1,0,2,High
sector 83,flat,0.95,3,3,3,Low floor,Moderately New Property,1489.0,0,0,1,Low
sector 56,house,4.0,4,4,3+,Low floor,Relatively new property,1503.02,0,0,0,Low
sector 67,flat,2.35,3,4,3+,High floor,Moderately New Property,1751.0,1,0,0,High
sector 63,flat,3.0,3,3,3+,High floor,Relatively new property,1642.0,1,0,0,Low
sector 2,flat,0.56,1,1,2,Mid floor,Moderately New Property,723.0,0,0,1,Medium
sector 68,flat,1.45,3,2,3+,Mid floor,New Property,1365.0,0,0,1,Low
sector 46,house,5.5,8,8,3+,Mid floor,Moderately New Property,2385.0,0,0,0,Low
sector 103,flat,2.14,4,6,3+,Mid floor,Relatively new property,2718.0,1,0,1,Medium
sector 109,flat,1.45,3,4,3+,Mid floor,Relatively new property,1797.0,1,0,1,Medium
sector 61,flat,2.57,3,3,2,Mid floor,Under Construction,1630.0,0,0,1,Low
sector 102,flat,1.85,3,3,3+,Low floor,Relatively new property,2250.0,1,0,0,Medium
sector 104,flat,1.8,3,4,3,High floor,New Property,2544.0,0,0,1,Medium
sector 99a,flat,1.45,3,5,3,High floor,Relatively new property,1807.0,1,0,0,Low
sector 37d,flat,1.55,3,3,3+,High floor,Relatively new property,1639.0,0,0,1,Medium
sector 85,flat,2.1,3,4,3+,Mid floor,Relatively new property,2026.0,1,0,1,High
sector 57,house,8.31,5,6,3+,Mid floor,Old Property,3438.0,1,1,1,Low
sector 102,flat,1.75,3,3,3,Mid floor,Relatively new property,1465.0,1,0,1,Low
sector 92,flat,1.3,4,4,0,Mid floor,Relatively new property,2040.0,0,0,1,Low
sector 83,flat,0.75,3,3,3,Mid floor,New Property,1162.0,0,0,0,Low
sector 92,flat,0.9,4,5,3+,Mid floor,Relatively new property,1805.0,1,0,1,Low
sector 22,flat,2.55,3,3,3,Mid floor,Relatively new property,1860.0,0,0,2,Low
sector 57,house,3.49,4,4,2,Mid floor,Moderately New Property,1727.98,1,0,0,Low
sector 49,house,4.05,3,3,3,Low floor,Moderately New Property,2000.0,1,1,1,Low
sector 68,flat,0.9,2,2,2,Low floor,New Property,1311.0,0,0,1,Low
sector 67,flat,4.55,4,4,3+,High floor,Relatively new property,2833.0,1,0,0,High
sector 52,house,2.25,3,3,3,Mid floor,New Property,1800.0,1,0,0,Low
sector 103,flat,1.32,3,3,3+,Mid floor,Relatively new property,1300.0,0,0,1,Low
sector 68,flat,0.84,2,2,2,Mid floor,New Property,1180.0,0,0,1,Low
sector 55,flat,1.44,3,3,2,Mid floor,Moderately New Property,1700.0,0,0,0,Low
