sector,property_type,price,bedRoom,bathroom,balcony,floor_category,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category
sector 37d,flat,1.25,3,3,3,Mid floor,Under Construction,2283.0,0,0,1,Low
sector 79,flat,1.25,3,3,3,High floor,Relatively new property,1058.0,0,0,0,Medium
sector 50,house,6.8,4,5,3,Mid floor,Old Property,2160.03,1,0,0,Medium
sector 92,flat,1.07,4,3,3,Mid floor,Under Construction,2040.0,1,0,1,Medium
sector 82a,flat,2.55,4,4,3+,High floor,Relatively new property,2273.0,0,0,2,Low
sector 6,house,0.75,2,4,1,Mid floor,Moderately New Property,713.0,0,0,1,Medium
sector 61,flat,2.2,3,3,2,Mid floor,New Property,1721.0,0,0,1,High
sector 113,flat,2.35,3,3,3,High floor,New Property,2210.0,1,0,1,High
sector 37d,flat,1.71,3,3,3+,Mid floor,Relatively new property,2191.0,0,0,1,Low
sector 74,flat,1.5,2,2,1,Mid floor,New Property,1556.0,0,0,1,Low
sector 102,flat,2.2,3,4,3+,High floor,Relatively new property,1186.0,1,0,0,Low
sector 85,flat,1.14,2,2,3,Mid floor,Relatively new property,1484.0,0,0,1,Medium
sector 48,house,4.95,7,7,3+,Low floor,Old Property,2403.0,1,1,0,Medium
sector 33,flat,1.55,3,3,3+,Mid floor,New Property,1444.0,0,0,0,Low
sohna road,flat,0.34,2,2,1,Low floor,New Property,699.0,0,0,1,Low
sector 67a,flat,2.08,3,3,2,Mid floor,Under Construction,1563.0,0,0,1,Medium
sector 108,flat,1.2,3,2,3+,High floor,Relatively new property,1550.0,1,0,0,High
sector 65,flat,4.6,3,3,3,Mid floor,New Property,1717.0,1,1,1,Medium
sector 37d,house,1.27,3,3,3,Mid floor,Under Construction,1570.0,0,0,1,Medium
sohna road road,flat,1.65,3,3,0,Low floor,New Property,1051.0,0,0,1,Medium
sector 85,flat,1.18,2,2,3,Mid floor,Relatively new property,1700.0,0,0,0,High
sector 52,flat,1.45,3,3,3+,Mid floor,Relatively new property,1800.0,0,0,0,Medium
sector 95,flat,0.38,2,2,1,Mid floor,New Property,610.0,0,0,1,Low
sector 83,flat,1.04,3,2,2,Low floor,Moderately New Property,1500.0,0,0,1,Medium
sector 109,flat,2.3,3,4,3+,Mid floor,New Property,2339.0,1,0,1,Medium
sector 43,house,8.49,3,3,2,Mid floor,Relatively new property,2700.0,1,0,0,Low
sector 74,flat,1.78,2,2,3+,High floor,Relatively new property,1582.0,0,0,1,Medium
sector 58,flat,4.0,3,4,3,Mid floor,Old Property,2164.0,1,0,0,Low
sector 77,flat,1.35,3,3,3+,Mid floor,New Property,1451.0,0,1,0,Medium
sector 25,house,6.5,3,9,3+,Mid floor,Old Property,1934.98,1,1,0,Medium
sector 92,flat,0.79,3,2,2,High floor,New Property,1175.0,0,0,1,Low
sector 103,flat,2.0,4,5,3+,High floor,New Property,2416.0,1,0,1,Low
sector 109,flat,2.2,3,3,2,Mid floor,Moderately New Property,2576.0,1,0,0,Medium
sector 102,flat,1.4,3,3,3,Mid floor,Relatively new property,1315.0,1,0,1,Medium
sector 56,flat,1.39,3,2,3,Mid floor,Old Property,1750.0,1,0,0,Medium
sector 37d,flat,1.0,3,3,3+,High floor,Moderately New Property,1602.0,0,0,1,Low
sector 86,flat,1.45,3,2,3,Mid floor,Relatively new property,1480.0,0,0,2,Medium
sector 54,flat,5.7,3,3,3,Low floor,Moderately New Property,1382.0,0,0,1,Low
sector 25,house,13.5,5,6,3+,Mid floor,Old Property,3618.0,0,0,0,Medium
sector 102,flat,0.48,2,2,1,Mid floor,Relatively new property,582.0,0,1,1,High
sector 36,flat,1.0,3,2,3,Low floor,New Property,1122.0,0,0,1,Medium
sector 85,flat,1.09,2,2,3,Mid floor,Relatively new property,1475.0,0,0,1,Low
sector 113,flat,2.9,4,4,3+,High floor,Under Construction,2553.0,1,0,1,Low
sector 43,house,11.5,7,8,3+,Mid floor,Old Property,9000.0,1,1,0,Low
sector 83,flat,1.0,3,3,2,Low floor,Relatively new property,1575.0,0,1,0,High
sector 67a,flat,0.56,2,2,2,Low floor,Relatively new property,778.0,0,0,1,Low
sector 61,flat,2.3,3,3,2,Low floor,Under Construction,1475.0,0,0,1,Medium
sector 62,flat,9.95,4,6,3,High floor,Relatively new property,3933.0,1,0,0,Medium
sector 92,flat,0.8,3,2,2,Mid floor,Relatively new property,1473.0,0,0,1,Low
sector 93,flat,1.25,3,4,2,High floor,Relatively new property,1350.0,0,0,0,Medium
sector 82,flat,0.63,2,2,3+,Low floor,Relatively new property,1026.0,0,0,1,Medium
sohna road,flat,0.73,2,2,3,Mid floor,Relatively new property,978.0,0,0,1,Low
sector 111,flat,0.7,2,2,2,Mid floor,Relatively new property,773.0,0,0,1,Medium
sector 69,flat,1.46,3,3,2,Low floor,Relatively new property,1428.0,0,0,0,High
sector 95,flat,0.4,2,2,2,Mid floor,New Property,571.0,0,0,1,Low
sector 65,flat,2.0,2,2,2,High floor,Relatively new property,1433.0,0,0,1,Low
sector 22,house,4.75,7,5,3+,Mid floor,Old Property,2366.95,0,0,0,Low
sector 58,flat,2.2,2,2,1,Mid floor,Relatively new property,1432.0,0,0,0,Medium
sector 54,flat,6.75,4,6,3+,High floor,Moderately New Property,2455.0,1,0,0,Medium
sector 85,flat,0.93,3,3,3,Mid floor,Relatively new property,1587.0,0,0,1,Low
sector 57,house,3.15,5,4,3+,Low floor,Moderately New Property,1547.99,0,1,0,Medium
sector 17b,house,7.2,4,4,2,Low floor,Old Property,4494.0,1,1,1,Low
sector 107,flat,1.3,3,3,3+,Mid floor,Relatively new property,1554.0,0,0,0,High
sector 48,flat,15.0,5,6,3+,High floor,Relatively new property,7444.0,1,0,2,Low
sector 21,house,1.6,5,5,2,Mid floor,Relatively new property,120.0,0,0,1,Low
sector 2,flat,1.4,3,3,3+,Mid floor,Old Property,1611.0,0,0,2,Medium
sector 17b,house,6.95,4,4,3+,Low floor,Old Property,3500.0,1,1,1,Low
sector 83,flat,1.8,3,3,3+,Mid floor,Relatively new property,1719.0,0,0,1,Medium
sector 69,flat,1.76,4,4,2,Mid floor,Relatively new property,1819.0,0,0,1,Medium
sector 24,house,10.0,8,10,3+,Low floor,Old Property,3915.0,0,0,1,Low
sector 106,flat,1.15,3,4,3,Mid floor,Relatively new property,1305.0,1,0,1,Low
sector 109,house,5.65,4,4,3+,Low floor,New Property,5400.0,1,0,0,Low
sector 37d,flat,1.8,4,3,3,High floor,Relatively new property,2025.0,1,0,1,Low
sector 57,flat,2.5,3,3,3,Mid floor,Moderately New Property,2036.0,0,0,1,Medium
sector 37c,flat,0.35,2,2,1,Mid floor,Relatively new property,850.0,0,0,0,High
sector 82,flat,0.85,2,2,2,Mid floor,Relatively new property,1294.0,0,0,1,Medium
sector 47,house,8.81,8,6,3+,Mid floor,Moderately New Property,3240.0,1,0,0,Low
sector 11,house,1.35,10,6,3+,Mid floor,Old Property,3500.0,0,0,1,Low
sector 88a,flat,1.45,2,2,3+,Mid floor,Relatively new property,133.0,0,0,2,Medium
sector 69,flat,0.74,3,3,1,Mid floor,Under Construction,1210.0,1,0,1,Medium
sector 110,flat,4.0,4,4,3,High floor,New Property,3350.0,0,0,1,Medium
sector 113,flat,3.05,3,4,3,Mid floor,Relatively new property,2150.0,1,0,1,High
sohna road,flat,0.2,2,2,1,Mid floor,New Property,743.0,0,0,1,Low
sector 104,flat,2.63,4,4,3+,High floor,Relatively new property,2953.0,1,0,0,High
sohna road,flat,0.46,2,2,2,Mid floor,Relatively new property,789.0,0,0,2,Low
sector 69,flat,1.68,4,4,2,Low floor,Relatively new property,1819.0,0,0,1,Medium
sector 78,flat,0.7,2,2,2,Mid floor,Moderately New Property,1224.0,0,0,1,Low
sector 90,flat,1.95,4,4,3+,High floor,Relatively new property,2456.0,1,1,1,High
sector 89,flat,1.5,3,3,3,Mid floor,Relatively new property,1923.0,1,0,1,Medium
sector 67,house,8.0,6,7,3+,High floor,Moderately New Property,3600.0,1,0,0,Low
sector 41,house,9.35,10,10,3+,Mid floor,Moderately New Property,7500.0,1,0,0,Medium
sector 65,flat,2.3,3,4,3,Mid floor,Relatively new property,1833.0,1,1,2,High
sector 102,flat,1.9,3,3,3+,High floor,New Property,1700.0,0,0,1,High
sector 65,flat,2.8,3,3,3,High floor,Under Construction,1867.0,0,0,1,Medium
sector 9,house,0.35,2,2,1,Low floor,Old Property,360.0,0,0,1,Low
sector 56,flat,0.55,1,2,1,Low floor,Old Property,678.0,0,0,1,Medium
sector 37c,flat,1.25,3,3,3,Low floor,Relatively new property,1563.0,0,0,1,Low
sector 85,flat,2.15,3,5,3,Low floor,New Property,2179.0,0,0,1,Medium
sector 53,flat,6.5,4,5,3+,Mid floor,Relatively new property,3000.0,1,0,0,High
sector 103,flat,1.25,3,3,3+,Low floor,New Property,1464.0,0,0,1,Medium
sector 3 phase 3 extension,house,0.75,2,2,0,Low floor,Moderately New Property,130.0,0,0,1,Low
sector 103,flat,0.23,1,1,1,Mid floor,Relatively new property,400.0,0,0,1,Low
sector 43,house,1.9,3,3,3+,Mid floor,Old Property,60.0,0,0,2,Low
sector 102,flat,2.5,3,4,3+,High floor,New Property,1945.0,1,0,0,Medium
sector 106,flat,1.05,3,4,3+,Mid floor,Relatively new property,1345.0,1,0,1,High
sector 31,flat,5.5,4,5,3+,Low floor,Relatively new property,2663.0,1,0,1,Medium
sector 1,flat,2.01,4,4,3+,Mid floor,Moderately New Property,1956.0,0,0,2,Low
sector 109,house,6.1,5,6,3+,Low floor,Moderately New Property,2430.0,1,0,1,Low
sector 92,flat,0.71,3,3,3,Low floor,Relatively new property,1473.0,0,0,1,Medium
sector 70a,flat,1.1,2,2,3+,Mid floor,New Property,1312.0,0,0,1,Medium
sector 47,flat,1.05,2,2,2,Mid floor,Relatively new property,1108.0,0,0,0,Low
sector 81,flat,4.7,4,4,3+,High floor,Relatively new property,6268.0,1,0,0,Medium
sector 71,flat,0.37,1,1,2,Low floor,Relatively new property,450.0,0,0,1,Medium
sector 4,house,0.4,1,1,1,Low floor,Moderately New Property,432.0,0,0,1,Low
sector 57,house,3.3,4,3,3+,Low floor,Moderately New Property,1664.98,1,1,1,High
sector 70a,house,0.92,2,3,3+,Mid floor,New Property,1319.0,0,0,1,High
sohna road,flat,0.38,2,2,2,Mid floor,Relatively new property,750.0,0,0,1,Low
sector 69,house,2.95,4,3,2,Mid floor,New Property,1799.99,0,0,2,Medium
sohna road,flat,0.3,2,2,2,Mid floor,New Property,605.0,0,0,1,Medium
sector 43,house,2.55,3,3,2,Mid floor,Relatively new property,1935.04,0,0,0,Medium
sector 70a,house,0.9,2,2,3+,Mid floor,New Property,1319.0,1,0,1,High
sector 91,flat,0.9,2,2,2,High floor,Relatively new property,1186.0,0,0,2,Medium
sector 109,house,6.0,4,5,3,Low floor,Moderately New Property,6228.0,0,0,1,Medium
sector 9a,flat,1.5,4,3,3+,Mid floor,Relatively new property,1833.0,0,0,0,Low
sohna road,flat,0.38,2,2,2,Low floor,Relatively new property,602.0,0,0,1,Low
sector 33,house,11.5,5,6,3+,Mid floor,Relatively new property,4680.0,1,0,1,Medium
sector 14,flat,1.7,5,5,2,Low floor,Old Property,2556.0,0,1,2,Medium
sector 79,flat,1.25,2,2,3,Low floor,Relatively new property,1383.0,0,0,1,Low
sector 79,flat,1.2,3,3,3+,High floor,Relatively new property,1154.0,0,0,0,Medium
sector 102,flat,2.0,3,3,3+,Low floor,Relatively new property,1456.0,0,1,1,Medium
sector 112,house,7.99,4,6,3,Low floor,New Property,6382.0,1,1,0,Medium
sector 7,house,2.25,5,3,0,Low floor,Old Property,148.0,0,0,1,Low
sector 90,flat,1.8,4,4,3+,High floor,Moderately New Property,2468.0,0,0,1,Medium
sector 33,flat,0.95,2,2,3+,Mid floor,Under Construction,1253.0,0,0,1,Low
sector 92,flat,0.5,3,3,1,Low floor,Relatively new property,579.0,0,0,1,Low
sector 25,flat,8.0,5,5,3+,Low floor,Old Property,5778.0,1,0,2,Low
sector 60,flat,2.15,2,3,2,Mid floor,Relatively new property,1250.0,1,0,0,Low
sector 47,house,0.99,1,4,3,Mid floor,Relatively new property,576.0,0,0,1,Low
sector 37d,flat,1.0,3,5,3,High floor,Under Construction,1833.0,1,0,1,Low
sector 92,flat,1.25,4,3,0,High floor,Under Construction,2040.0,0,0,1,Low
sector 4,house,0.92,1,4,3,Mid floor,Moderately New Property,603.0,0,0,1,Low
sector 65,flat,1.75,3,3,3,Mid floor,Relatively new property,1081.0,1,0,0,Medium
sector 48,house,8.25,4,4,3+,Mid floor,Relatively new property,2160.03,1,1,0,High
sector 79,flat,1.91,3,4,3+,Mid floor,Relatively new property,2031.0,1,0,1,High
sector 51,flat,3.55,5,6,3+,High floor,Moderately New Property,5200.0,1,1,0,High
sector 78,flat,0.95,3,3,2,Mid floor,Relatively new property,1730.0,0,0,0,Medium
manesar,flat,1.5,4,5,3+,Mid floor,New Property,2135.0,1,0,1,Low
sector 95,flat,0.55,3,2,2,High floor,New Property,811.0,0,0,0,Medium
sector 53,flat,6.5,3,4,3+,Low floor,Old Property,2683.0,0,0,1,Medium
sector 48,flat,5.15,3,3,3+,Mid floor,Moderately New Property,2364.0,1,0,2,Medium
sector 79,flat,1.2,3,3,3,High floor,Relatively new property,1348.0,0,0,0,Low
sector 79,flat,1.1,3,3,3,Low floor,Relatively new property,2167.0,0,0,0,Medium
sector 85,flat,2.6,3,3,3,High floor,Under Construction,2129.0,1,0,1,Low
sector 102,flat,1.6,3,3,3,Mid floor,Relatively new property,1315.0,0,0,1,Low
sohna road,flat,0.9,2,2,2,High floor,Relatively new property,1105.0,0,0,2,Medium
sector 69,flat,1.75,3,4,2,Low floor,Relatively new property,2056.0,0,0,0,High
sector 67,flat,4.5,4,4,3+,Low floor,Relatively new property,3160.0,1,0,0,Low
sector 85,flat,1.93,3,4,3,Mid floor,Relatively new property,2400.0,1,0,1,High
sector 67,flat,0.95,1,1,1,High floor,Relatively new property,826.0,0,0,1,Low
sector 21,house,0.6,3,3,2,Mid floor,Old Property,972.0,0,0,1,Low
sector 63,flat,3.4,3,3,3+,Low floor,New Property,3077.0,0,0,1,Medium
sector 112,house,7.46,4,4,3+,Low floor,Relatively new property,6350.0,1,0,0,Medium
sector 28,flat,0.9,4,2,3+,Low floor,Old Property,1382.0,0,0,1,Low
sohna road,house,1.5,2,3,2,Low floor,New Property,1053.0,0,0,0,Medium
sector 12,house,1.7,3,3,0,Low floor,Old Property,200.0,0,0,1,Low
sector 25,flat,3.4,4,4,3,Low floor,Old Property,2744.0,1,0,1,Low
sector 49,house,4.5,8,8,3,Mid floor,Moderately New Property,2880.0,1,1,2,High
sector 28,house,1.39,2,2,1,Mid floor,Old Property,1450.0,0,1,1,Low
sector 37d,flat,0.98,3,3,3+,Mid floor,Relatively new property,1675.0,0,0,1,High
sector 106,flat,1.17,3,4,3+,High floor,Relatively new property,1186.0,1,0,1,Low
sector 91,flat,1.9,4,4,3,Mid floor,Relatively new property,2465.0,1,0,1,Medium
sector 65,flat,2.35,3,3,3,Low floor,Relatively new property,1500.0,1,0,0,Medium
sector 37d,flat,1.65,4,3,3+,Mid floor,Relatively new property,2091.0,0,0,0,Medium
sector 90,flat,0.92,3,4,3,Mid floor,Relatively new property,1493.0,1,0,1,Medium
sector 15,flat,1.6,3,3,3+,Low floor,Moderately New Property,1611.0,0,0,1,Medium
sector 102,flat,1.5,3,3,3,Mid floor,Relatively new property,1315.0,0,0,0,High
sector 102,flat,1.42,2,2,3,High floor,Relatively new property,1368.0,0,0,1,Low
sector 92,flat,1.44,4,4,3,Mid floor,Relatively new property,2267.0,0,0,1,Low
sector 79,flat,0.9,2,2,3,Mid floor,Relatively new property,1450.0,0,0,1,Medium
sector 102,flat,1.35,3,3,3,Mid floor,Relatively new property,1315.0,1,0,1,Medium
sector 48,house,4.75,7,7,3,Low floor,Moderately New Property,2340.0,0,0,0,Low
sector 65,flat,2.29,2,2,3,Mid floor,Under Construction,1592.0,0,0,1,Low
sector 69,flat,1.36,3,3,1,High floor,Relatively new property,1392.0,0,0,1,Medium
sector 61,flat,2.04,3,3,3+,High floor,Moderately New Property,1595.0,1,0,0,High
sohna road,flat,0.25,2,2,1,Low floor,Relatively new property,587.0,0,0,1,Low
sector 51,flat,0.3,1,1,0,Low floor,Moderately New Property,80.0,0,0,1,Low
sector 112,flat,3.65,3,4,3+,High floor,Relatively new property,2225.56,1,0,0,High
sector 91,flat,1.65,4,4,3+,High floor,Moderately New Property,2139.0,1,0,1,Medium
sector 82,flat,0.86,2,2,2,High floor,Relatively new property,1294.0,0,0,0,Medium
sector 9a,flat,1.25,4,3,3,Low floor,Old Property,2007.0,1,0,1,Low
sector 48,house,5.5,4,4,2,Low floor,Relatively new property,2340.0,1,0,0,Low
sector 103,flat,0.93,2,3,3,Mid floor,Relatively new property,1613.0,1,0,0,Medium
sector 104,flat,2.65,4,4,3+,Mid floor,Relatively new property,2851.0,1,0,1,High
sector 66,flat,2.8,3,3,2,High floor,New Property,1950.0,1,0,2,Medium
sector 58,flat,3.8,3,4,1,High floor,Moderately New Property,2164.0,1,0,0,High
sector 81,flat,1.45,3,3,3,Mid floor,Relatively new property,1650.0,0,0,0,Medium
sector 54,flat,3.85,3,3,3+,Mid floor,Old Property,2119.0,1,0,1,Medium
new,flat,4.0,4,4,2,Mid floor,Under Construction,3889.0,1,0,0,Medium
sector 43,flat,1.5,3,3,3+,Mid floor,Old Property,1385.0,0,1,0,High
sector 107,flat,1.65,4,5,3+,High floor,Relatively new property,2505.0,1,0,1,Low
sector 99a,flat,1.1,2,2,3,Mid floor,New Property,1368.0,0,0,1,Medium
sector 66,flat,1.85,2,3,3,High floor,Relatively new property,1470.0,1,0,0,Medium
sector 2,house,6.0,4,4,1,Low floor,Relatively new property,3000.0,0,0,1,Low
sector 103,flat,0.3,1,2,2,Mid floor,New Property,402.0,0,0,1,Low
sector 79,flat,1.1,2,2,3+,Mid floor,New Property,1223.0,0,0,0,Low
sector 37c,flat,1.4,3,3,3+,Mid floor,Relatively new property,1890.0,1,0,1,Medium
sector 90,flat,0.95,3,3,3,Mid floor,Relatively new property,1667.0,1,0,1,Medium
sector 99a,flat,1.16,3,3,3,Mid floor,Relatively new property,1790.0,1,0,1,Low
sector 37c,flat,0.7,2,3,3+,High floor,Under Construction,1299.0,0,0,1,Medium
sector 65,flat,3.2,4,3,2,Low floor,Relatively new property,3150.0,1,0,1,Low
sector 4,house,0.55,2,1,1,Low floor,Moderately New Property,75.0,0,0,1,Low
sector 61,flat,3.87,3,4,3+,High floor,Under Construction,2250.0,1,0,1,Medium
sector 99a,flat,1.3,3,3,0,High floor,New Property,1997.0,0,0,1,Low
sector 49,flat,1.95,3,3,3,Low floor,Old Property,1633.0,0,0,0,Medium
sector 109,house,6.75,4,4,3+,Low floor,New Property,6228.0,1,0,1,Medium
sector 22,flat,4.8,4,6,3+,Mid floor,New Property,2778.0,1,0,2,Low
sector 95,flat,0.26,1,1,1,Mid floor,New Property,406.0,0,0,1,Low
sector 83,flat,1.05,3,3,2,High floor,Relatively new property,1588.0,1,1,0,High
sector 104,flat,1.58,2,3,3,High floor,Relatively new property,1538.0,1,0,1,Medium
sector 37d,flat,1.0,3,3,2,Mid floor,Relatively new property,1163.0,0,0,1,Low
sector 14,flat,2.2,3,4,3+,Mid floor,Old Property,1956.0,0,0,1,Low
sector 22,flat,1.99,2,2,2,Mid floor,New Property,1285.0,0,0,1,Low
sector 6,house,1.25,2,5,1,Low floor,New Property,120.0,0,0,1,Low
sector 80,flat,1.1,3,3,3,Mid floor,Moderately New Property,1580.0,1,0,1,Medium
sector 49,house,3.75,2,6,3,Mid floor,Moderately New Property,1467.02,0,0,1,Low
sector 88a,flat,1.31,2,2,3+,Mid floor,Relatively new property,1463.0,0,0,1,Medium
sector 86,house,2.47,4,4,3+,Low floor,Moderately New Property,2800.0,1,0,0,Medium
sector 102,flat,2.12,3,3,3,Mid floor,New Property,1571.0,0,0,1,Medium
sector 91,flat,1.8,4,4,3+,Mid floor,Moderately New Property,2604.0,1,0,1,Medium
sector 81,flat,1.4,3,3,3+,Mid floor,Relatively new property,1475.0,0,0,1,Medium
sector 91,house,2.5,4,4,3+,Mid floor,Moderately New Property,3400.0,1,1,0,Medium
sector 89,flat,0.97,2,2,2,Low floor,New Property,1371.0,0,0,1,Low
sector 108,flat,1.68,3,3,3+,Mid floor,Relatively new property,1338.29,1,0,0,Medium
sector 85,flat,2.0,3,4,3,Mid floor,Relatively new property,2300.0,1,0,1,Low
sector 106,flat,1.4,4,6,3+,Mid floor,Relatively new property,1535.0,1,0,1,High
sector 69,flat,1.31,3,3,2,High floor,Relatively new property,1392.0,0,0,0,High
sector 56,flat,0.6,1,1,1,Low floor,Moderately New Property,543.0,0,0,1,Low
sector 79,flat,1.0,2,2,3,Mid floor,Relatively new property,1700.0,0,0,1,Low
sohna road,flat,0.35,2,2,2,High floor,New Property,521.0,0,0,1,Low
sector 104,flat,1.8,2,3,3,High floor,New Property,1538.0,1,0,1,Low
sector 83,flat,0.6,2,2,2,Low floor,Relatively new property,990.0,0,0,0,High
sector 61,flat,1.5,2,2,2,Low floor,Under Construction,1333.0,0,0,1,Low
sector 107,flat,0.5,2,2,1,High floor,Relatively new property,494.0,0,0,1,Medium
sector 9,house,1.65,2,3,0,Mid floor,Old Property,900.0,0,0,1,Low
sohna road,flat,0.99,2,2,2,Mid floor,Under Construction,1045.0,0,0,1,Low
sector 10a,flat,0.8,2,3,2,Mid floor,New Property,1389.0,0,0,1,Low
sector 92,flat,1.6,3,3,3,Mid floor,Relatively new property,1765.0,1,0,0,Medium
sector 85,flat,1.2,2,2,3+,Mid floor,Relatively new property,1491.0,0,1,1,Medium
sector 95,flat,0.32,2,2,1,Mid floor,Relatively new property,563.0,0,0,2,Low
sector 103,house,2.25,3,5,3+,Mid floor,Relatively new property,3534.0,0,0,1,Low
sector 109,house,5.9,4,5,2,Low floor,Relatively new property,2430.0,1,0,0,Medium
sector 103,flat,1.33,3,3,3+,Mid floor,Relatively new property,1671.0,0,0,1,High
sector 56,flat,1.99,4,4,3+,Mid floor,Old Property,2000.0,0,0,0,Medium
sector 85,flat,0.9,3,3,2,High floor,Relatively new property,1402.0,0,0,1,Medium
sector 70a,flat,1.69,3,3,3+,Mid floor,New Property,1900.0,1,0,1,High
sector 85,flat,1.1,2,2,3,High floor,Relatively new property,1173.0,0,0,1,Medium
sector 106,flat,1.82,3,2,2,Mid floor,Relatively new property,1359.0,0,0,1,Low
sector 79,flat,1.72,3,4,3,Mid floor,New Property,2050.0,0,0,1,Low
sector 67,flat,3.5,3,4,3,High floor,Relatively new property,2225.0,1,1,0,High
sector 107,flat,0.35,2,2,2,Mid floor,Relatively new property,608.0,0,0,1,Low
sector 69,flat,1.4,3,3,1,High floor,Relatively new property,1419.0,0,0,1,High
sector 106,flat,1.0,2,2,3+,Low floor,New Property,940.0,0,0,0,Low
sector 48,house,8.5,4,6,3,Mid floor,Old Property,3240.0,1,0,1,Low
sector 70,flat,1.8,3,3,3+,Mid floor,New Property,1765.0,0,0,0,Low
sector 106,flat,1.32,4,5,3+,High floor,Relatively new property,1535.0,1,0,1,Low
sector 102,flat,2.15,3,4,3+,High floor,Relatively new property,1945.0,1,0,0,Medium
sector 77,flat,1.1,3,4,3+,Mid floor,Relatively new property,1829.0,1,0,1,Low
sector 66,flat,1.5,2,3,3,Low floor,Relatively new property,1330.0,1,0,0,Medium
sector 28,house,8.4,4,4,3+,Low floor,Relatively new property,2430.0,1,1,0,Medium
sector 83,flat,1.18,3,3,2,High floor,Relatively new property,1618.0,0,0,1,Low
sector 111,flat,3.9,4,5,3+,Mid floor,Relatively new property,2996.0,1,0,2,High
sector 26,house,17.3,6,7,3+,Mid floor,New Property,4518.0,1,1,0,Medium
sohna road,flat,0.95,2,2,3+,Mid floor,New Property,1129.0,0,0,0,Medium
sector 90,flat,0.75,2,2,3,Mid floor,Relatively new property,1444.0,0,0,1,Medium
sector 81,flat,0.8,2,2,2,Mid floor,Under Construction,607.0,0,0,1,Low
sector 7,house,6.5,3,2,3+,Low floor,Old Property,4320.0,0,0,1,Low
sector 103,house,4.35,4,4,3+,Low floor,Relatively new property,3222.0,1,1,1,Medium
sector 89,flat,1.2,3,3,3,Mid floor,Under Construction,1064.0,0,1,1,Medium
sector 4,flat,0.46,2,2,1,Low floor,Relatively new property,1000.0,0,0,0,Medium
sector 90,flat,0.7,2,2,3,Mid floor,New Property,1224.0,0,0,1,Medium
sector 65,flat,2.55,3,3,3,Mid floor,Relatively new property,1650.0,1,0,1,Low
sector 82,house,5.0,4,4,3+,Mid floor,Relatively new property,3240.0,1,1,1,Low
sector 55,house,4.6,3,3,3+,Low floor,Old Property,2160.0,1,1,0,Low
sector 110,flat,3.7,4,5,3,Mid floor,Relatively new property,3077.0,1,0,1,High
sector 6,flat,0.6,2,2,0,Low floor,Relatively new property,790.0,0,0,0,Low
sector 61,flat,1.65,2,2,2,Low floor,Under Construction,1333.0,0,0,1,Low
sector 67a,house,1.83,4,4,2,Mid floor,New Property,2700.0,0,0,0,Medium
sector 92,flat,0.61,3,2,2,Mid floor,Under Construction,1141.0,0,0,1,Low
sector 85,flat,2.1,4,5,3+,Mid floor,Relatively new property,2545.0,0,0,0,Medium
sector 86,flat,0.6,3,2,2,Low floor,New Property,833.0,0,0,1,Low
sector 77,flat,1.5,3,3,3,Mid floor,Relatively new property,1310.0,0,0,0,Medium
sector 61,flat,2.1,3,2,3,Mid floor,Under Construction,1534.0,0,0,1,Medium
sector 24,house,1.6,8,5,3+,Mid floor,Old Property,540.0,0,0,1,Low
sector 113,flat,1.75,2,2,3,Mid floor,Relatively new property,1424.0,0,0,1,Medium
sector 3,flat,1.3,2,2,2,Mid floor,Under Construction,1604.0,0,0,1,Low
sector 28,flat,2.25,3,3,2,High floor,Old Property,1700.0,1,0,1,Medium
sector 106,flat,0.46,1,1,1,High floor,New Property,778.0,0,0,1,Medium
sector 104,flat,1.3,3,2,3+,High floor,Relatively new property,1303.0,0,1,0,Low
sector 2,flat,1.4,3,3,3+,Mid floor,Moderately New Property,1611.0,0,0,1,Medium
sector 71,flat,0.82,2,2,2,Mid floor,Moderately New Property,1086.0,0,0,1,Low
sector 37c,flat,1.43,3,3,3+,Low floor,Relatively new property,1834.0,1,0,1,Low
sector 86,flat,1.54,3,3,3+,High floor,Relatively new property,1780.0,1,0,1,High
sector 88a,flat,1.29,3,3,3,Mid floor,New Property,1642.0,0,0,1,Medium
sector 7,house,1.15,5,3,2,Low floor,Old Property,1350.0,0,0,1,Low
sector 49,house,4.45,6,6,3,Mid floor,Moderately New Property,2880.0,1,1,2,High
sector 48,house,7.35,4,5,2,Low floor,Moderately New Property,3222.0,1,1,0,Medium
sector 103,flat,0.8,2,2,0,Mid floor,Relatively new property,1450.0,0,0,1,Medium
sector 81,flat,0.88,2,2,3,Mid floor,Relatively new property,1223.0,0,0,0,Medium
sector 2,flat,0.2,1,1,1,Low floor,Moderately New Property,556.0,0,0,1,Low
sector 79,flat,0.96,2,2,3,Mid floor,Relatively new property,1012.0,0,0,1,Low
sector 33,flat,1.35,3,2,3+,Mid floor,Under Construction,1484.0,0,0,1,Low
sector 33,flat,2.3,4,4,3+,Mid floor,New Property,2000.0,1,0,1,Low
sector 72,house,3.1,5,5,3+,High floor,Relatively new property,3653.0,0,0,1,Low
sector 76,flat,1.46,4,6,3+,Mid floor,New Property,2398.0,1,0,1,Medium
sector 50,flat,2.65,3,4,3+,Mid floor,Moderately New Property,2470.0,1,0,0,High
sector 109,flat,1.2,3,2,2,Mid floor,Relatively new property,1701.0,0,0,1,High
sohna road,flat,0.4,2,2,3,High floor,New Property,661.0,0,0,1,Low
