sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
sector 65,flat,m3m heights,2.0,13957.0,1433.0,Built Up area: 1433 (133.13 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,32.0,Na,Undefined,,1433.0,1000.0,0,0,0,0,0,1,48,716.5
sector 22,house,independent,4.75,20068.0,2366.95,Plot area 263(219.9 sq.m.)Built Up area: 261 sq.yards (218.23 sq.m.)Carpet area: 259 sq.yards (216.56 sq.m.),7,5,3+,3.0,South-West,Old Property,,261.0,259.0,0,0,1,1,0,0,49,338.13571428571424
sector 58,flat,ireo the grand arch,2.2,13480.0,1632.0,Super Built up area 1632(151.62 sq.m.)Built Up area: 1432 sq.ft. (133.04 sq.m.)Carpet area: 1232 sq.ft. (114.46 sq.m.),2,2,1,5.0,North-East,Relatively new property,1632.0,1432.0,1232.0,0,1,0,0,0,0,94,816.0
sector 54,flat,la lagune,6.75,21361.0,3160.0,Super Built up area 3160(293.57 sq.m.)Built Up area: 2455 sq.ft. (228.08 sq.m.)Carpet area: 2240 sq.ft. (208.1 sq.m.),4,6,3+,11.0,East,Moderately New Property,3160.0,2455.0,2240.0,1,0,0,0,0,0,119,790.0
sector 85,flat,orris aster court,0.93,5671.0,1640.0,Built Up area: 1587 (147.44 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,8.0,Na,Relatively new property,,1587.0,1250.0,0,0,0,0,0,1,0,546.6666666666666
sector 57,house,independent,3.15,20349.0,1547.99,Plot area 172(143.81 sq.m.),5,4,3+,2.0,North-East,Moderately New Property,,1548.0,,0,0,0,0,1,0,60,309.598
sector 17b,house,independent,7.2,15926.0,4520.91,Plot area 420,4,4,2,1.0,Na,Old Property,,4494.0,,1,0,0,0,1,1,0,1130.2275
sector 107,flat,m3m woodshire,1.3,8922.0,1457.0,Super Built up area 1943(180.51 sq.m.)Built Up area: 1554 sq.ft. (144.37 sq.m.)Carpet area: 1457 sq.ft. (135.36 sq.m.),3,3,3+,4.0,West,Relatively new property,1943.0,1554.0,1457.0,0,0,0,1,0,0,174,485.6666666666667
sector 48,flat,central park resorts,15.0,22388.0,6700.0,Carpet area: 6700 (622.45 sq.m.),5,6,3+,17.0,Na,Relatively new property,,,6700.0,1,1,0,1,0,2,45,1340.0
sector 21,house,independent,1.6,11852.0,1349.98,Plot area 150(125.42 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.),5,5,2,3.0,Na,Relatively new property,,120.0,,0,0,0,0,0,1,0,269.996
sector 2,flat,bestech park view residency,1.4,7865.0,1780.0,Super Built up area 1780(165.37 sq.m.),3,3,3+,6.0,North,Old Property,1780.0,,,0,0,0,0,0,2,107,593.3333333333334
sector 17b,house,kothi,6.95,15444.0,4500.13,Plot area 500(418.06 sq.m.)Built Up area: 3500 sq.yards (2926.45 sq.m.),4,4,3+,2.0,Na,Old Property,,3500.0,,1,1,0,1,1,1,33,1125.0325
sector 83,flat,emaar palm gardens,1.8,9474.0,1900.0,Super Built up area 1900(176.52 sq.m.),3,3,3+,9.0,South,Relatively new property,1900.0,,,0,0,0,0,0,1,55,633.3333333333334
sector 69,flat,tulip violet,1.76,8756.0,2010.0,Super Built up area 2010(186.74 sq.m.),4,4,2,6.0,North,Relatively new property,2010.0,,,0,0,0,0,0,1,108,502.5
sector 24,house,independent,10.0,25543.0,3915.0,Carpet area: 435 (40.41 sq.m.),8,10,3+,1.0,West,Undefined,,,435.0,0,0,0,0,0,1,0,489.375
sector 106,flat,paras dews,1.15,6053.0,1900.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1305 sq.ft. (121.24 sq.m.)Carpet area: 1173 sq.ft. (108.98 sq.m.),3,4,3,5.0,North-West,Relatively new property,1900.0,1305.0,1173.0,1,1,0,0,0,1,49,633.3333333333334
sector 109,house,international city by sobha phase 2,5.65,10463.0,5399.98,Plot area 600(501.68 sq.m.),4,4,3+,2.0,North-East,New Property,,5400.0,,1,0,1,0,0,0,44,1349.995
sector 37d,flat,bptp terra,1.8,8215.0,2191.0,Super Built up area 2191(203.55 sq.m.)Carpet area: 1860 sq.ft. (172.8 sq.m.),4,3,3,18.0,North-West,Relatively new property,2191.0,,1860.0,1,1,0,1,0,1,49,547.75
sector 57,flat,bptp freedom park life,2.5,11111.0,2250.0,Super Built up area 2250(209.03 sq.m.),3,3,3,9.0,Na,Moderately New Property,2250.0,,,0,0,0,0,0,1,55,750.0
sector 37c,flat,apex our homes,0.35,3784.0,925.0,Super Built up area 925(85.94 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,1,7.0,East,Relatively new property,925.0,850.0,800.0,0,0,0,0,0,0,158,462.5
